gender,ethnic,age_group,bmi_group,mean,sd,n_subjects
2,2,6,8,152.3,7.566,2
2,3,1,1,159,5.863,53
2,3,1,2,160.1,5.677,44
2,3,1,3,159.4,5.466,34
2,3,1,4,159.7,4.941,32
2,3,1,5,159.7,5.242,23
2,3,1,6,157.5,4.423,18
2,3,1,7,160.3,4.607,14
2,3,1,8,159.9,6.054,11
2,3,2,1,157.8,6.405,23
2,3,2,2,157.9,7.521,47
2,3,2,3,157.9,5.777,62
2,3,2,4,158.3,5.698,68
2,3,2,5,158.1,4.699,44
2,3,2,6,157.9,7.609,31
2,3,2,7,155.9,4.878,14
2,3,2,8,158.2,6.649,33
2,3,3,1,157.1,6.807,37
2,3,3,2,157.1,5.225,57
2,3,3,3,156.5,5.724,98
2,3,3,4,157,5.359,95
2,3,3,5,156.3,6.488,85
2,3,3,6,155,5.759,59
2,3,3,7,155.1,6.36,41
2,3,3,8,154.9,5.333,43
2,3,4,1,153.6,6.162,23
2,3,4,2,156,5.563,54
2,3,4,3,154.9,6.209,71
2,3,4,4,156.1,5.598,107
2,3,4,5,155.6,5.196,84
2,3,4,6,154.9,5.829,60
2,3,4,7,154.9,5.933,31
2,3,4,8,154.9,5.537,43
2,3,5,1,151.3,4.236,8
2,3,5,2,156.3,7.899,18
2,3,5,3,152.5,6.849,29
2,3,5,4,153.9,5.735,34
2,3,5,5,152.5,4.968,27
2,3,5,6,150.2,5.654,17
2,3,5,7,153.9,4.772,11
2,3,5,8,152.7,6.136,8
2,3,6,1,151.4,4.618,4
2,3,6,2,146.5,7.039,9
2,3,6,3,149.9,5.878,15
2,3,6,4,147.9,5.709,8
2,3,6,5,150,4.232,12
2,3,6,6,,,0
2,3,6,7,149.5,2.121,2
2,3,6,8,152,6.614,3
2,4,1,1,162.7216,10.48682,1
2,4,1,2,162.7216,10.48682,0
2,4,1,3,162.7216,10.48682,0
2,4,1,4,162.7216,10.48682,1
2,4,1,5,162.7216,10.48682,0
2,4,1,6,162.7216,10.48682,1
2,4,1,7,162.7216,10.48682,0
2,4,1,8,162.7216,10.48682,0
